filename,emotion,text,llm_pred_emotion,llm_rationale
s_061_1.wav,sad,"кажу, пап, що в тебе сталось?",neutral,"A simple question asking what happened to someone, no clear emotional charge."
s_062_1.wav,sad,"Мене мама била в дитинстві, причому досить сильно.",sad,"Describes childhood physical abuse, expressing painful personal experience."
s_063_1.wav,sad,"Я не вважаю, що це мені за щось там віддається.",neutral,Statement of personal belief or opinion without strong emotional content.
s_064_1.wav,sad,"Я чула тільки кохана, зайчик, люблю, цьомки.",happy,"Lists affectionate words like 'beloved,' 'bunny,' 'love,' suggesting positive feelings."
s_065_1.wav,sad,біг мама заступалася за тебе.,neutral,"Incomplete statement about mother defending someone, lacks clear emotional context."
s_066_1.wav,sad,тої тоже мала бути.,neutral,"Fragment about something that should have been, too unclear for emotion."
s_067_1.wav,sad,"Дякую за те, що ти мене лікував.",happy,"Expression of gratitude for medical treatment, positive appreciation."
s_068_1.wav,sad,Я просто пам'ятаю це.,neutral,"Simple statement about remembering something, factual and emotionally flat."
s_069_1.wav,sad,"Мама мені не повірила, сказала, що я",sad,"Describes mother not believing them, suggesting hurt and disappointment."
s_070_1.wav,sad,Взагалі незрозуміло цього жесту.,neutral,"Statement about not understanding a gesture, matter-of-fact confusion."
s_071_1.wav,sad,"Я думаю, що я під загрозою покинути проект.",sad,"Expresses fear about being under threat of leaving project, showing anxiety."
s_072_1.wav,sad,"Та, блін, мене просто кумарить той серш.",angry,Uses strong language expressing frustration or craving for something intensely.
s_073_1.wav,sad,Блядь!,angry,Explicit profanity expressing strong negative emotion or frustration.
s_074_0.wav,sad,"справді, я не зрозумів.",neutral,"Simple admission of not understanding something, factual statement."
s_075_1.wav,sad,У мене кожен раз збільшувалась тривога.,sad,"Describes increasing anxiety each time, indicating distress and worry."
s_076_1.wav,sad,"наче, я не щира.",sad,"Suggests feeling insincere or fake, indicating self-doubt and negative feelings."
s_077_1.wav,sad,просто і почали литись сльози.,sad,"Describes tears starting to flow, clear indication of crying and sadness."
s_078_1.wav,sad,Почали лити сльози?,neutral,"Question about tears starting, seeking confirmation without emotional charge."
s_079_1.wav,sad,"Я хочу себе врятувати. Я не очікувала, що так буває.",sad,"Expresses desire for self-rescue and surprise at difficult situation, showing distress."
s_080_1.wav,sad,"Я шукаю причини, чому мене немає в TikTok.",neutral,"Statement about searching for reasons regarding TikTok presence, factual inquiry."
s_081_1.wav,sad,Я просто хочу якогось ставлення нормального.,sad,"Expresses a desire for normal treatment, implying current dissatisfaction or hurt."
s_082_1.wav,sad,"Я відчувала страх того, що я можу поїхати додому.",sad,"Directly mentions fear about going home, indicating anxiety and distress."
s_083_1.wav,sad,"І так, без того тривожно через сьогоднішній день,",sad,"Expresses anxiety about the current day, showing worry and unease."
s_084_1.wav,sad,"Наболіли, вони в мене отут вже сидять.",sad,Describes physical discomfort that has been bothering them for a while.
s_085_1.wav,sad,"Обстріл був, до наші три рятувальника загинуло.",sad,"Reports tragedy where three rescuers died in shelling, clearly expressing grief."
s_086_1.wav,sad,"Ми не поняли, як і де воно буде.",neutral,States factual confusion about understanding something without clear emotional content.
s_087_1.wav,sad,"Ми не поняли друг друга, хоча я думала, що в нас класний буде коннект.",sad,Expresses disappointment about failed connection despite initial expectations.
s_088_1.wav,sad,"але, на жаль, так вийшло, що наразі",sad,Uses regretful language 'unfortunately' indicating disappointment about current circumstances.
s_089_1.wav,sad,Я залишаю свій біль та образу на колишнього.,sad,Explicitly mentions pain and resentment toward a former partner.
s_090_1.wav,sad,"Я дуже сподіваюсь, що з часом це мене відпустить.",sad,"Expresses hope for healing, implying current emotional suffering that needs release."
s_091_1.wav,sad,Тарас мене не кликав до себе.,sad,"States that Taras didn't invite them, suggesting feeling excluded or rejected."
s_092_1.wav,sad,"Я просто в шоці, бо я не очікувала такого повороту.",angry,Expresses shock about unexpected turn of events with strong emotional reaction.
s_093_1.wav,sad,"Я закінчила розмову, я була зла.",angry,Explicitly states being angry and ending a conversation in that state.
s_094_1.wav,sad,"Я не могла навіть, ну, додати щось до розмови.",sad,"Describes inability to contribute to conversation, suggesting helplessness or withdrawal."
s_095_1.wav,sad,Щось у моєму житті.,neutral,Incomplete fragment about something in their life without clear emotional context.
s_096_1.wav,sad,В мене не було підтримки ні з чиєї сторони.,sad,"States lack of support from anyone, expressing isolation and abandonment."
s_097_1.wav,sad,"Ну, він і так це відчував, але просто, можливо, не хотів сприймати.",neutral,Analytical observation about someone's awareness and reluctance without strong emotion.
s_098_0.wav,sad,"Боже мій, було.",neutral,Brief exclamation without sufficient context to determine clear emotional valence.
s_099_0.wav,sad,Я два тижні вже трохи відходжу від всього.,sad,"Describes process of recovering from something over two weeks, implying trauma."
s_100_0.wav,sad,"Наче відкрилась для мене з іншої сторони, вона відкрилась жорстокою.",sad,"Describes someone revealing a cruel side, indicating disappointment and hurt."
s_101_0.wav,sad,"Я думав, що в нас все вийде і",neutral,Incomplete sentence expressing a past thought without clear emotional valence.
s_102_0.wav,sad,"Коли ми проходили випробування, я думав, що в нас все вийде і.",neutral,"Factual statement about past expectations during trials, incomplete sentence."
s_103_0.wav,sad,Але вчорашній вечір показав зовсім інше.,sad,Expresses disappointment that reality differed from expectations.
s_104_1.wav,sad,Але все ж таки він залишався вірним.,neutral,Objective statement about someone remaining faithful despite circumstances.
s_105_1.wav,sad,І хоча би спробувати з ним порозумітися.,neutral,"Suggests trying to reach understanding, neither positive nor negative."
s_106_1.wav,sad,"Ти знаєш, що я хочу з тобою бути з одним і назавжди.",happy,"Expresses desire for eternal togetherness, indicating love and affection."
s_107_1.wav,sad,"Я не хотіла би думати навіть про те, що я не зможу тобі тебе обійняти.",sad,Expresses fear of not being able to embrace someone.
s_108_1.wav,sad,що я не зможу тобі тебе обійняти.,sad,"Fragment expressing inability to embrace someone, suggesting loss."
s_109_1.wav,sad,"Не пройдусь з тобою за руку, не буду цілуватись під дощем.",sad,"Lists romantic activities that won't happen, expressing loss and longing."
s_110_1.wav,sad,Не пройдусь з тобою знов.,sad,"Simple statement about not walking together again, implying separation."
s_111_1.wav,sad,не буду цілуватись під дощем.,sad,"Won't kiss in the rain anymore, suggesting romantic loss."
s_112_0.wav,sad,Чому ви не написали відмову?,angry,Direct question with accusatory tone about not writing a refusal.
s_113_0.wav,sad,Мені було самому складно.,sad,"Admits personal difficulty, expressing vulnerability and struggle."
s_114_0.wav,sad,"І поки я слухаю, я дійсно співпереживаю.",neutral,Factual statement about empathizing while listening to someone.
s_115_0.wav,sad,"Для неї це болюча тема, і точно і поки я слухав, я дійсно співпереживав їй.",sad,Acknowledges painful topic and expresses empathy for someone's suffering.
s_116_0.wav,sad,"Очевидно, що мені їх ніхто ніколи не дав би і не давав.",sad,Expresses resignation about never receiving something from anyone.
s_117_1.wav,sad,Лише тебе чекала.,neutral,"Simple statement about waiting for someone, unclear emotional context."
s_118_1.wav,sad,"Ну, і він це, може, відчути як, е-е,",neutral,"Incomplete, hesitant sentence about someone possibly feeling something."
s_119_1.wav,sad,"Там була така атмосфера, коли залишились дві-три няні.",neutral,"Describes an atmosphere when few caregivers remained, factual observation."
s_120_0.wav,sad,"Коли ти мене обіймала, ти відчула щось ніби?",neutral,"Question about feeling something during an embrace, seeking information."
s_121_1.wav,sad,Тому поки про це навіть не думаю.,neutral,Matter-of-fact statement about not thinking about something currently.
s_122_1.wav,sad,я поки що не готова. Тому поки про це навіть не думаю.,neutral,Calm explanation of not being ready and not thinking about it.
s_123_1.wav,sad,Просто в мене не виходило вступати в тащі.,neutral,"Simple statement about difficulty with entering something, no strong emotion."
s_124_1.wav,sad,"Золота, золота.",happy,Repetition of 'golden' suggests appreciation or admiration.
s_125_0.wav,sad,Це просто жах.,angry,Expression of horror or strong negative reaction to something.
s_126_1.wav,sad,"В мене така проблема, я розумію, що за останній рік стало ще в тисячу разів гірше.",sad,"Describes problem and things getting much worse, indicating distress."
s_127_1.wav,sad,Я просто лежу і мене все трясе. За що?,sad,Physical trembling and questioning 'why' suggests emotional pain and despair.
s_128_1.wav,sad,"Я розумію, що за останній рік стало ще в тисячу разів гірше.",sad,Recognition that situation has gotten much worse shows dejection.
s_129_1.wav,sad,Мені дуже обідно. Мені дуже неприємно.,sad,Explicitly states feeling hurt and unpleasant emotions.
s_130_1.wav,sad,просто не заслужила цього всього від нього.,sad,Feeling undeserving of treatment received indicates hurt and disappointment.
s_131_1.wav,sad,Хоче я хотіла до нього підступитися.,neutral,"Statement about wanting to approach someone, no clear emotional tone."
s_132_1.wav,sad,"Поговорити, вирішити.",neutral,"Simple desire to talk and resolve issues, factual tone."
s_133_1.wav,sad,"Я так цю проблему, а, речі, які",neutral,"Incomplete sentence about addressing a problem, unclear emotional content."
s_134_1.wav,sad,Я ж йому нічого поганого не зробила.,sad,Defensive statement about not doing harm suggests hurt feelings.
s_135_1.wav,sad,Я просто захотіла випити.,neutral,"Simple statement about wanting to drink, no emotional charge."
s_136_1.wav,sad,Мені важко було.,sad,Direct expression of difficulty and hardship.
s_137_1.wav,sad,"Він знав, що це не боліло ще.",neutral,"Statement about someone's knowledge, factual tone without clear emotion."
s_138_1.wav,sad,"Я сама справлюся, не не допоможу.",neutral,"Declaration of self-reliance, matter-of-fact tone."
s_139_1.wav,sad,В мене братик є.,neutral,Simple factual statement about having a brother.
s_140_1.wav,sad,Я мушу зараз про цю проблему говорити на всю Україну.,sad,Feeling compelled to discuss personal problems publicly suggests distress.
s_141_1.wav,sad,Хоча лікарі не радили.,neutral,A factual statement about doctors' advice with no clear emotional tone.
s_142_1.wav,sad,"це те, що все минулося, і цей страшний сон.",sad,"References something terrible that passed and a nightmare, indicating distress."
s_143_1.wav,sad,"все добре, це плацентарний кровообіг.",neutral,"Medical explanation about placental circulation, factual and informational."
s_144_1.wav,sad,Зінну народите здорову.,happy,Positive prediction about giving birth to a healthy child.
s_145_1.wav,sad,"Вагітність - це єдиний механізм, запущений в твоєму організмі.",neutral,Clinical description of pregnancy as a biological mechanism.
s_146_1.wav,sad,"По, по здоров'ю, по імунітету.",neutral,Mentions health and immunity in a factual manner.
s_147_1.wav,sad,Я народила здорового хлопчика.,happy,Positive statement about giving birth to a healthy boy.
s_148_1.wav,sad,Як у вас стосунки з батьками чи чоловіком?,neutral,Neutral question about relationships with parents or husband.
s_149_1.wav,sad,мені вклалася в голові надовго.,neutral,Simple statement about something staying in memory for long.
s_150_1.wav,sad,"Бачу, тато на барі замовляє вже коньяк.",neutral,Observational statement about father ordering cognac at a bar.
s_151_1.wav,sad,Я дуже сильно ревнувала до сестри.,sad,"Expresses strong jealousy toward sister, indicating emotional pain."
s_152_1.wav,sad,не не кричіть. І я завжди маму питала.,neutral,Request not to shout and mention of asking mother questions.
s_153_1.wav,sad,"Я таке враження, бо я не ваша дитина. Ви то мене сварите, дивіться.",sad,Expresses feeling of not being loved and being scolded constantly.
s_154_1.wav,sad,"І я просто жалію, що мені не сказали раніше.",sad,Expresses regret about not being told something earlier.
s_155_1.wav,sad,"хочеш, щоб він знав, що я його люблю.",happy,"Wants someone to know about love, showing affectionate feelings."
s_156_1.wav,sad,тато на барі замовляє вже коньяк.,neutral,Observational statement about father ordering cognac at a bar.
s_157_1.wav,sad,"Мені мама 15 років не казала, що…",sad,"Mentions mother not telling something for 15 years, suggesting hurt."
s_158_1.wav,sad,"Це не мій тато, але він для мене є тато.",happy,Positive statement about father figure despite biological differences.
s_159_1.wav,sad,"Я йому ще в той вечір сказала, що",neutral,Incomplete statement about telling someone something that evening.
s_160_1.wav,sad,"що я його сильно люблю, але я бачу просто, що",happy,"Expresses strong love for someone, showing positive emotion."
s_161_1.wav,sad,Я втратила дуже багато часу.,sad,"Expresses regret about losing a lot of time, indicating disappointment or sadness."
s_162_1.wav,sad,коли я відчувала.,neutral,"Incomplete fragment about feeling something, lacks clear emotional context."
s_163_0.wav,sad,"Сказати, що все буду окей?",neutral,"Question about saying everything will be okay, neutral inquiry without clear emotion."
s_164_0.wav,sad,"Але, в ті моменти в тебе тоже думки такі",neutral,"Incomplete statement about having thoughts in certain moments, lacks emotional clarity."
s_165_0.wav,sad,в той період дуже складно було,sad,"States it was very difficult during that period, expressing hardship and distress."
s_166_0.wav,sad,"І, ми два тижні штори блекаут.",neutral,"Factual statement about blackout curtains for two weeks, no clear emotion."
s_167_0.wav,sad,"Наталя просто в істериці, постійно волає.",angry,"Describes someone being hysterical and constantly screaming, indicating intense agitation."
s_168_0.wav,sad,Просто в істериці постійно була.,angry,"States being constantly hysterical, expressing intense emotional disturbance and agitation."
s_169_0.wav,sad,Плакала нонстопом,sad,"Direct statement about crying nonstop, clearly expressing deep sadness or grief."
s_170_0.wav,sad,"Плакала, нонстопом. Я розумію, що тоді треба триматися",sad,"Mentions nonstop crying while understanding need to hold on, shows sadness with awareness."
s_171_0.wav,sad,в моменті просто вух,neutral,"Incomplete fragment mentioning ears in the moment, unclear meaning and emotion."
s_172_0.wav,sad,"Тобто, десь всі ці архіви є.",neutral,"Factual statement about archives existing somewhere, no emotional content."
s_173_0.wav,sad,"чекапи, слухали як вже б'ється серце",happy,"Mentions listening to heartbeat during checkups, implies positive anticipation or joy."
s_174_0.wav,sad,"апарат, щоб слухати. Ну, це було дуже мило. Ти",happy,"Describes something as very sweet/nice, expressing positive emotion and warmth."
s_175_0.wav,sad,"Ну, це було дуже мило. Ти розказуєш.",happy,"Calls something very sweet and mentions storytelling, shows positive affection."
s_176_0.wav,sad,"Наталі поділилася, що вона вагітна, дуже цікавий.",happy,"Shares news about pregnancy being very interesting, indicates positive excitement or joy."
s_177_0.wav,sad,"Ну, коли цей момент може бути?",neutral,"Simple question about timing of a moment, no clear emotional valence."
s_178_0.wav,sad,"Я зараз мушу це сказати, я мушу це сказати.",neutral,"Repetitive statement about needing to say something, more urgent than emotional."
s_179_1.wav,sad,"Господи Боже, дуже молода людина.",neutral,"Exclamation about someone being very young, more observational than emotional."
s_180_1.wav,sad,"34, Господи Боже.",neutral,"Simple exclamation about age 34, factual observation without clear emotion."
s_181_1.wav,sad,"сижу вагітна на пляжі, плачу",sad,Crying while pregnant on the beach indicates sadness and distress.
s_182_1.wav,sad,Плачу і кажу,sad,Crying while speaking clearly indicates sadness or emotional pain.
s_183_1.wav,sad,Нашо я це зробила? Нашо я вийшла за нього заміж?,sad,Regretful questioning about marriage decisions shows sadness and remorse.
s_184_1.wav,sad,"Але, я відверто тобі скажу, чесно, я",neutral,Incomplete statement about speaking honestly lacks clear emotional content.
s_185_1.wav,sad,Я виграла це життя.,happy,Declaring victory in life expresses positive achievement and happiness.
s_186_1.wav,sad,"хочу сказати, що цим жінкам потрібна підтримка.",neutral,Factual statement about women needing support without emotional charge.
s_187_1.wav,sad,"Так не знаю, не люблю в житті, як його.",angry,Strong dislike expressed with emphasis suggests anger or frustration.
s_188_1.wav,sad,"Той, хто не б'є щодня. Боже, це жах.",sad,Reference to daily violence as horror expresses distress and sadness.
s_189_1.wav,sad,розумію. Мені навпаки хочеться підійти і її там настільки обійняти.,happy,Wanting to hug someone shows compassion and positive emotional response.
s_190_1.wav,sad,Дуже потрібна підтримка.,neutral,Simple statement about needing support without emotional intensity.
s_191_1.wav,sad,настільки дозволяла по собі їхати,sad,Allowing mistreatment suggests resignation and underlying sadness.
s_192_1.wav,sad,та бо я не хотіла це проявляти.,neutral,Statement about not wanting to show something lacks clear emotion.
s_193_1.wav,sad,Я не хотіла це все повторювати,neutral,Simple statement about not wanting to repeat something.
s_194_1.wav,sad,"не хотіла, щоб люди це відчували.",neutral,Expressing desire to protect others from feelings without strong emotion.
s_195_1.wav,sad,"щоб люди це відчували, те, що десь відчувала я.",sad,Protecting others from one's own painful feelings indicates underlying sadness.
s_196_1.wav,sad,Ти маєш бажання це виправляти?,neutral,Direct question about desire to fix something without emotional charge.
s_197_1.wav,sad,ти це виправляла і я,neutral,Incomplete statement about fixing something lacks clear emotional context.
s_198_1.wav,sad,Ніби щось тут встромляють,angry,Description of something being forced or inserted suggests irritation.
s_199_1.wav,sad,поганий. Такий ніби,angry,Calling something bad with emphasis indicates negative judgment and anger.
s_200_1.wav,sad,цей папірець просто був перед обличчям.,neutral,Simple description of paper placement without emotional content.
s_201_1.wav,sad,Це ужас просто,angry,Expression of horror or disgust indicates strong negative emotion.
s_202_1.wav,sad,І я просто злякалася,sad,"Speaker describes being scared or frightened, indicating distress."
s_203_1.wav,sad,"Я не думала, що такий скандал",sad,Expresses disappointment about not expecting such a scandal.
s_204_1.wav,sad,Наречена повинна виплакати два глечики сліз,sad,"References crying tears, directly indicating sadness or sorrow."
s_205_1.wav,sad,"От, я її просто помагаю.",neutral,Simple statement about helping someone without emotional content.
a_001_0.wav,angry,У мене прекрасний зір.,neutral,Factual statement about having good eyesight.
a_002_1.wav,angry,"Боже, дівчата.",neutral,Mild exclamation addressing girls without clear emotional valence.
a_003_1.wav,angry,Бороду заховай,neutral,Simple instruction to hide beard without emotional context.
a_004_1.wav,angry,Жорсткіше Артур,angry,Demanding someone be harsher suggests frustration or aggression.
a_005_1.wav,angry,Чому ти так довго терпіла?,sad,Question about enduring something for long time implies sympathy.
a_006_1.wav,angry,Вас штормить від мене!,angry,Aggressive statement about causing disturbance shows hostility.
a_007_1.wav,angry,Я офігєла.,angry,Strong expression of being shocked or outraged.
a_008_1.wav,angry,Хочу подивитися в твій холодильник.,neutral,Simple desire to look in refrigerator without emotional tone.
a_009_1.wav,angry,"Оля, ти вже вся мокра",neutral,Observational comment about someone being wet.
a_010_1.wav,angry,"Я знаю, що це методика іншого автора.",neutral,Factual statement about knowing a different author's methodology.
a_011_1.wav,angry,"У людини, явно, не добре з головою.",angry,Negative judgment about someone's mental state shows disapproval.
a_012_1.wav,angry,Вона не виглядає на сім тисяч баксів в місяць.,neutral,Observational comment about someone's appearance relative to income.
a_013_1.wav,angry,Я з авокадо нічого їсти не буду.,neutral,Simple statement of food preference without emotional content.
a_014_1.wav,angry,Мені не потрібно на них кричати чи бити.,neutral,Statement about not needing to shout or hit.
a_015_1.wav,angry,щоб вони мені допомогли помити посуд.,neutral,Request for help with dishes without emotional emphasis.
a_016_1.wav,angry,А якщо до тебе дівчата в гості прийдуть?,neutral,"A simple question about girls visiting, no strong emotional tone."
a_017_1.wav,angry,"Дівчата, ви що, вабшє",angry,Dismissive tone with 'вабшє' suggests irritation or frustration.
a_018_1.wav,angry,"Блін, це ваші бутерброди з красною рибою.",neutral,Matter-of-fact statement about sandwiches with red fish.
a_019_1.wav,angry,"Ну, це балкон, атчепіться з мене",angry,Defensive response with 'атчепіться з мене' shows irritation.
a_020_1.wav,angry,Де термін придатності на бутербродах?,neutral,"Direct question about expiration date, no emotional charge."
a_021_1.wav,angry,Де термін придатності?,neutral,Simple question about expiration date.
a_022_0.wav,angry,"Взагалі де дитяче, ну де?",neutral,"Question about children's items location, matter-of-fact tone."
a_023_1.wav,angry,Навіщо ти це кажеш при дитині?,angry,Critical question about inappropriate behavior around a child.
a_024_0.wav,angry,А чого два?,neutral,Simple question asking why there are two.
a_025_1.wav,angry,"Про які ти, напевне, і не чула, Вікуся.",neutral,Statement about someone likely not hearing about something.
a_026_1.wav,angry,Це жах.,angry,Expression of horror or strong disapproval.
a_027_1.wav,angry,Я взагалі-то до тебе в гості приїхала.,neutral,Factual statement about visiting someone.
a_028_1.wav,angry,А на городи полоти,neutral,Statement about going to weed gardens.
a_029_1.wav,angry,Час дома він не проводив.,sad,"Implies someone's absence from home, suggesting loneliness or neglect."
a_030_1.wav,angry,А що тут такого?,neutral,"Question asking what's wrong, neutral inquiry tone."
a_031_1.wav,angry,"Так, я там відпочивала і не раз.",neutral,Factual statement about resting somewhere multiple times.
a_032_1.wav,angry,Він тобі зраджував?,neutral,"Direct question about infidelity, matter-of-fact delivery."
a_033_1.wav,angry,Півтора року дитина без мами,sad,Statement about child being without mother evokes sadness.
a_034_1.wav,angry,Просто в тобі недостатньо жіночності.,angry,"Critical statement about lacking femininity, insulting tone."
a_035_0.wav,angry,"50, блядь, Мішель.",angry,Profanity expressing frustration or anger.
a_036_0.wav,angry,Та ти на вулицю виходиш,neutral,A simple statement about going outside with no clear emotional tone.
a_037_0.wav,angry,Люди їздять на машинах.,neutral,Factual observation about people driving cars.
a_038_1.wav,angry,Вона тебе відбила в нього.,angry,"Accusatory statement about someone being taken away, suggesting conflict or betrayal."
a_039_0.wav,angry,"Ну, так, чувак, та людина впахує, блін.",neutral,"Casual observation about someone working hard, informal but not emotional."
a_040_0.wav,angry,І сфоткати і послати усі,neutral,"Instruction to photograph and send, matter-of-fact tone."
a_041_1.wav,angry,А то не треба було приходити,angry,"Critical statement suggesting someone shouldn't have come, expressing disapproval."
a_042_1.wav,angry,Я кістки не вибирала з риби.,neutral,"Simple statement about not removing fish bones, factual tone."
a_043_0.wav,angry,"Я не розумію. Ви з, ви шукали зрадника.",neutral,"Confused statement about looking for a traitor, questioning but not emotional."
a_044_1.wav,angry,"Вези мене бистреє до дому, потому что буде біда.",angry,"Urgent demand to drive faster with threat of trouble, showing agitation."
a_045_1.wav,angry,"Я бачу, ти поставила мені взагалі всі трійки.",angry,"Accusatory statement about receiving all threes (grades), expressing dissatisfaction."
a_046_1.wav,angry,ти просто зливаєш конкурентів.,angry,"Accusation of eliminating competitors, suggesting unfair behavior."
a_047_1.wav,angry,Я маю це змінити зараз.,neutral,"Statement of intention to change something now, determined but neutral."
